Geo_FIPS,Geo_GEOID,Geo_NAME,Geo_QName,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_FILEID,Geo_LOGRECNO,Geo_US,Geo_REGION,Geo_DIVISION,Geo_STATECE,Geo_STATE,Geo_COUNTY,Geo_COUSUB,Geo_PLACE,Geo_PLACESE,Geo_TRACT,Geo_BLKGRP,Geo_CONCIT,Geo_AIANHH,Geo_AIANHHFP,Geo_AIHHTLI,Geo_AITSCE,Geo_AITS,Geo_ANRC,Geo_CBSA,Geo_CSA,Geo_METDIV,Geo_MACC,Geo_MEMI,Geo_NECTA,Geo_CNECTA,Geo_NECTADIV,Geo_UA,Geo_UACP,Geo_CDCURR,Geo_SLDU,Geo_SLDL,Geo_VTD,Geo_ZCTA3,Geo_ZCTA5,Geo_SUBMCD,Geo_SDELM,Geo_SDSEC,Geo_SDUNI,Geo_UR,Geo_PCI,Geo_TAZ,Geo_UGA,Geo_BTTR,Geo_BTBG,Geo_PUMA5,Geo_PUMA1,SE_A00001_001,SE_A14006_001
"36047012700","14000US36047012700","Census Tract 127","Census Tract 127, Kings County, New York","ny","140","00","ACSSF","0004575",,,,,"36","047",,,,"012700",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4318,55145
"36047012801","14000US36047012801","Census Tract 128.01","Census Tract 128.01, Kings County, New York","ny","140","00","ACSSF","0004576",,,,,"36","047",,,,"012801",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2293,38580
"36047012901","14000US36047012901","Census Tract 129.01","Census Tract 129.01, Kings County, New York","ny","140","00","ACSSF","0004577",,,,,"36","047",,,,"012901",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2387,119875
"36047012902","14000US36047012902","Census Tract 129.02","Census Tract 129.02, Kings County, New York","ny","140","00","ACSSF","0004578",,,,,"36","047",,,,"012902",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2554,127159
"36047013000","14000US36047013000","Census Tract 130","Census Tract 130, Kings County, New York","ny","140","00","ACSSF","0004579",,,,,"36","047",,,,"013000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4615,77166
"36047013100","14000US36047013100","Census Tract 131","Census Tract 131, Kings County, New York","ny","140","00","ACSSF","0004580",,,,,"36","047",,,,"013100",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4155,147969
"36047013200","14000US36047013200","Census Tract 132","Census Tract 132, Kings County, New York","ny","140","00","ACSSF","0004581",,,,,"36","047",,,,"013200",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2372,55865
"36047013300","14000US36047013300","Census Tract 133","Census Tract 133, Kings County, New York","ny","140","00","ACSSF","0004582",,,,,"36","047",,,,"013300",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4454,192813
"36047013400","14000US36047013400","Census Tract 134","Census Tract 134, Kings County, New York","ny","140","00","ACSSF","0004583",,,,,"36","047",,,,"013400",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4117,81774
"36047013500","14000US36047013500","Census Tract 135","Census Tract 135, Kings County, New York","ny","140","00","ACSSF","0004584",,,,,"36","047",,,,"013500",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4014,156027
"36047013600","14000US36047013600","Census Tract 136","Census Tract 136, Kings County, New York","ny","140","00","ACSSF","0004585",,,,,"36","047",,,,"013600",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3609,86165
"36047013700","14000US36047013700","Census Tract 137","Census Tract 137, Kings County, New York","ny","140","00","ACSSF","0004586",,,,,"36","047",,,,"013700",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3554,116438
"36047013800","14000US36047013800","Census Tract 138","Census Tract 138, Kings County, New York","ny","140","00","ACSSF","0004587",,,,,"36","047",,,,"013800",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3169,60950
"36047013900","14000US36047013900","Census Tract 139","Census Tract 139, Kings County, New York","ny","140","00","ACSSF","0004588",,,,,"36","047",,,,"013900",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3650,143169
"36047014000","14000US36047014000","Census Tract 140","Census Tract 140, Kings County, New York","ny","140","00","ACSSF","0004589",,,,,"36","047",,,,"014000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1986,69750
"36047014100","14000US36047014100","Census Tract 141","Census Tract 141, Kings County, New York","ny","140","00","ACSSF","0004590",,,,,"36","047",,,,"014100",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2766,101250
"36047014200","14000US36047014200","Census Tract 142","Census Tract 142, Kings County, New York","ny","140","00","ACSSF","0004591",,,,,"36","047",,,,"014200",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3051,58558
"36047014300","14000US36047014300","Census Tract 143","Census Tract 143, Kings County, New York","ny","140","00","ACSSF","0004592",,,,,"36","047",,,,"014300",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3672,110329
"36047014500","14000US36047014500","Census Tract 145","Census Tract 145, Kings County, New York","ny","140","00","ACSSF","0004593",,,,,"36","047",,,,"014500",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3815,87543
"36047014700","14000US36047014700","Census Tract 147","Census Tract 147, Kings County, New York","ny","140","00","ACSSF","0004594",,,,,"36","047",,,,"014700",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2408,97589
"36047014800","14000US36047014800","Census Tract 148","Census Tract 148, Kings County, New York","ny","140","00","ACSSF","0004595",,,,,"36","047",,,,"014800",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1213,83068
