,index,County Code,Site Num,Parameter Code,Latitude,Longitude,Datum,Parameter Name,Sample Duration,Date Local,Units of Measure,Observation Count,Observation Percent,Arithmetic Mean,1st Max Value,1st Max Hour,AQI,Local Site Name,Address,County Name
59,1715557,81,124,42401,40.73614,-73.82153000000001,WGS84,Sulfur dioxide,1 HOUR,2011-01-15,Parts per billion,24,100.0,9.758333,23.2,6,33.0,QUEENS COLLEGE 2,Queens College   65-30 Kissena Blvd  Parking Lot#6,Queens
60,1715558,81,124,42401,40.73614,-73.82153000000001,WGS84,Sulfur dioxide,1 HOUR,2011-01-16,Parts per billion,24,100.0,4.6000000000000005,10.1,1,14.0,QUEENS COLLEGE 2,Queens College   65-30 Kissena Blvd  Parking Lot#6,Queens
61,1703429,5,133,42401,40.8679,-73.87809,WGS84,Sulfur dioxide,3-HR BLK AVG,2011-01-16,Parts per billion,8,100.0,9.775,14.5,2,,PFIZER LAB SITE,200TH STREET AND SOUTHERN BOULDVARD Pfizer Lab,Bronx
62,1715922,81,124,42401,40.73614,-73.82153000000001,WGS84,Sulfur dioxide,3-HR BLK AVG,2011-01-16,Parts per billion,8,100.0,4.5625,8.700000000000001,2,,QUEENS COLLEGE 2,Queens College   65-30 Kissena Blvd  Parking Lot#6,Queens
63,1703064,5,133,42401,40.8679,-73.87809,WGS84,Sulfur dioxide,1 HOUR,2011-01-16,Parts per billion,24,100.0,9.8125,14.9,1,20.0,PFIZER LAB SITE,200TH STREET AND SOUTHERN BOULDVARD Pfizer Lab,Bronx
64,1703430,5,133,42401,40.8679,-73.87809,WGS84,Sulfur dioxide,3-HR BLK AVG,2011-01-17,Parts per billion,8,100.0,5.3875,7.6,8,,PFIZER LAB SITE,200TH STREET AND SOUTHERN BOULDVARD Pfizer Lab,Bronx
65,1715923,81,124,42401,40.73614,-73.82153000000001,WGS84,Sulfur dioxide,3-HR BLK AVG,2011-01-17,Parts per billion,8,100.0,3.4625000000000004,5.0,8,,QUEENS COLLEGE 2,Queens College   65-30 Kissena Blvd  Parking Lot#6,Queens
66,1703065,5,133,42401,40.8679,-73.87809,WGS84,Sulfur dioxide,1 HOUR,2011-01-17,Parts per billion,24,100.0,5.416667,10.2,6,14.0,PFIZER LAB SITE,200TH STREET AND SOUTHERN BOULDVARD Pfizer Lab,Bronx
67,1715559,81,124,42401,40.73614,-73.82153000000001,WGS84,Sulfur dioxide,1 HOUR,2011-01-17,Parts per billion,24,100.0,3.491667,5.7,8,7.0,QUEENS COLLEGE 2,Queens College   65-30 Kissena Blvd  Parking Lot#6,Queens
68,1715924,81,124,42401,40.73614,-73.82153000000001,WGS84,Sulfur dioxide,3-HR BLK AVG,2011-01-18,Parts per billion,8,100.0,2.9375,7.4,23,,QUEENS COLLEGE 2,Queens College   65-30 Kissena Blvd  Parking Lot#6,Queens
69,1703431,5,133,42401,40.8679,-73.87809,WGS84,Sulfur dioxide,3-HR BLK AVG,2011-01-18,Parts per billion,8,100.0,5.1000000000000005,9.7,23,,PFIZER LAB SITE,200TH STREET AND SOUTHERN BOULDVARD Pfizer Lab,Bronx
70,1703066,5,133,42401,40.8679,-73.87809,WGS84,Sulfur dioxide,1 HOUR,2011-01-18,Parts per billion,24,100.0,5.141667,11.4,23,16.0,PFIZER LAB SITE,200TH STREET AND SOUTHERN BOULDVARD Pfizer Lab,Bronx
71,1715560,81,124,42401,40.73614,-73.82153000000001,WGS84,Sulfur dioxide,1 HOUR,2011-01-18,Parts per billion,24,100.0,2.983333,8.8,21,11.0,QUEENS COLLEGE 2,Queens College   65-30 Kissena Blvd  Parking Lot#6,Queens
72,1703432,5,133,42401,40.8679,-73.87809,WGS84,Sulfur dioxide,3-HR BLK AVG,2011-01-19,Parts per billion,8,100.0,14.4375,24.9,8,,PFIZER LAB SITE,200TH STREET AND SOUTHERN BOULDVARD Pfizer Lab,Bronx
73,1715925,81,124,42401,40.73614,-73.82153000000001,WGS84,Sulfur dioxide,3-HR BLK AVG,2011-01-19,Parts per billion,8,100.0,7.75,14.3,8,,QUEENS COLLEGE 2,Queens College   65-30 Kissena Blvd  Parking Lot#6,Queens
74,1703067,5,133,42401,40.8679,-73.87809,WGS84,Sulfur dioxide,1 HOUR,2011-01-19,Parts per billion,24,100.0,14.470833,26.8,6,37.0,PFIZER LAB SITE,200TH STREET AND SOUTHERN BOULDVARD Pfizer Lab,Bronx
75,1715561,81,124,42401,40.73614,-73.82153000000001,WGS84,Sulfur dioxide,1 HOUR,2011-01-19,Parts per billion,24,100.0,7.7875,21.3,8,30.0,QUEENS COLLEGE 2,Queens College   65-30 Kissena Blvd  Parking Lot#6,Queens
76,1715926,81,124,42401,40.73614,-73.82153000000001,WGS84,Sulfur dioxide,3-HR BLK AVG,2011-01-20,Parts per billion,8,100.0,3.9625,6.0,8,,QUEENS COLLEGE 2,Queens College   65-30 Kissena Blvd  Parking Lot#6,Queens
