,County Code,Site Num,Parameter Code,Latitude,Longitude,Datum,Parameter Name,Sample Duration,Date Local,Units of Measure,Observation Count,Observation Percent,Arithmetic Mean,1st Max Value,1st Max Hour,AQI,Local Site Name,Address,County Name
88,61,79,88101,40.7997,-73.93432,WGS84,PM2.5 - Local Conditions,24 HOUR,2011-01-27,Micrograms/cubic meter (LC),1,100.0,11.9,11.9,0,50.0,IS 45,"SCHOOL IS 45, 2351 1ST AVENUE",New York
89,61,128,88101,40.73,-73.984,WGS84,PM2.5 - Local Conditions,24 HOUR,2011-01-27,Micrograms/cubic meter (LC),1,100.0,18.8,18.8,0,65.0,PS 19,PS 19    185 1ST AVENUE,New York
90,81,124,88101,40.73614,-73.82153000000001,WGS84,PM2.5 - Local Conditions,24 HOUR,2011-01-27,Micrograms/cubic meter (LC),1,100.0,12.5,12.5,0,52.0,QUEENS COLLEGE 2,Queens College   65-30 Kissena Blvd  Parking Lot#6,Queens
91,85,67,88101,40.59664,-74.12525,WGS84,PM2.5 - Local Conditions,24 HOUR,2011-01-27,Micrograms/cubic meter (LC),1,100.0,9.5,9.5,0,40.0,SUSAN WAGNER HS,"SUSAN WAGNER HS,   1200 MANOR RD, near Brielle Ave",Richmond
92,61,134,88101,40.71436,-73.99518,WGS84,PM2.5 - Local Conditions,24 HOUR,2011-01-27,Micrograms/cubic meter (LC),1,100.0,13.2,13.2,0,53.0,DIVISION STREET,"40 DIVISION STREET, PS 124",New York
93,81,124,88101,40.73614,-73.82153000000001,WGS84,PM2.5 - Local Conditions,24 HOUR,2011-01-28,Micrograms/cubic meter (LC),1,100.0,26.4,26.4,0,81.0,QUEENS COLLEGE 2,Queens College   65-30 Kissena Blvd  Parking Lot#6,Queens
94,81,124,88101,40.73614,-73.82153000000001,WGS84,PM2.5 - Local Conditions,24 HOUR,2011-01-29,Micrograms/cubic meter (LC),1,100.0,22.4,22.4,0,73.0,QUEENS COLLEGE 2,Queens College   65-30 Kissena Blvd  Parking Lot#6,Queens
95,85,67,88101,40.59664,-74.12525,WGS84,PM2.5 - Local Conditions,24 HOUR,2011-01-30,Micrograms/cubic meter (LC),1,100.0,19.5,19.5,0,67.0,SUSAN WAGNER HS,"SUSAN WAGNER HS,   1200 MANOR RD, near Brielle Ave",Richmond
96,85,55,88101,40.633070000000004,-74.13719,WGS84,PM2.5 - Local Conditions,24 HOUR,2011-01-30,Micrograms/cubic meter (LC),1,100.0,22.8,22.8,0,74.0,RICHMOND POST OFFICE,"POST OFFICE, 364 PORT RICHMOND AVE.",Richmond
97,61,134,88101,40.71436,-73.99518,WGS84,PM2.5 - Local Conditions,24 HOUR,2011-01-30,Micrograms/cubic meter (LC),1,100.0,25.5,25.5,0,79.0,DIVISION STREET,"40 DIVISION STREET, PS 124",New York
98,61,128,88101,40.73,-73.984,WGS84,PM2.5 - Local Conditions,24 HOUR,2011-01-30,Micrograms/cubic meter (LC),1,100.0,26.0,26.0,0,80.0,PS 19,PS 19    185 1ST AVENUE,New York
99,5,80,88101,40.836059999999996,-73.92009,WGS84,PM2.5 - Local Conditions,24 HOUR,2011-01-30,Micrograms/cubic meter (LC),1,100.0,24.6,24.6,0,77.0,MORRISANIA,"MORRISANIA CENTER, 1225-57 GERARD AVE.",Bronx
100,61,79,88101,40.7997,-73.93432,WGS84,PM2.5 - Local Conditions,24 HOUR,2011-01-30,Micrograms/cubic meter (LC),1,100.0,18.1,18.1,0,64.0,IS 45,"SCHOOL IS 45, 2351 1ST AVENUE",New York
101,5,133,88101,40.8679,-73.87809,WGS84,PM2.5 - Local Conditions,24 HOUR,2011-01-30,Micrograms/cubic meter (LC),1,100.0,21.1,21.1,0,70.0,PFIZER LAB SITE,200TH STREET AND SOUTHERN BOULDVARD Pfizer Lab,Bronx
102,81,124,88101,40.73614,-73.82153000000001,WGS84,PM2.5 - Local Conditions,24 HOUR,2011-01-30,Micrograms/cubic meter (LC),1,100.0,21.5,21.5,0,71.0,QUEENS COLLEGE 2,Queens College   65-30 Kissena Blvd  Parking Lot#6,Queens
103,47,122,88101,40.719609999999996,-73.94771,WGS84,PM2.5 - Local Conditions,24 HOUR,2011-01-30,Micrograms/cubic meter (LC),1,100.0,19.7,19.7,0,67.0,JHS 126,JHS 126  424 LEONARD ST,Kings
104,81,124,88101,40.73614,-73.82153000000001,WGS84,PM2.5 - Local Conditions,24 HOUR,2011-01-31,Micrograms/cubic meter (LC),1,100.0,8.2,8.2,0,34.0,QUEENS COLLEGE 2,Queens College   65-30 Kissena Blvd  Parking Lot#6,Queens
